ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
615	"ENSMUSG00000004677"	"Myo9b"	chr8	+	71348330	71349194	71348330	71348901	71348934	71349194	615	101,104,84	38,35,47	103,110,98	22,26,19	133	100	0.000943353013864	0.0790139444629	0.666,0.691,0.573	0.779,0.761,0.795	-0.135
868	"ENSMUSG00000067071"	"Hes6"	chr1	-	91411482	91412802	91411482	91412482	91412720	91412802	868	72,78,86	35,51,39	85,83,100	91,79,76	338	100	0.000890134380649	0.0790139444629	0.378,0.312,0.395	0.217,0.237,0.28	0.117
2510	"ENSMUSG00000053332"	"Gas5"	chr1	+	161035982	161036244	161035982	161036014	161036207	161036244	2510	204,253,232	472,469,526	78,89,76	116,107,116	293	100	0.00105710107117	0.0806215750279	0.129,0.155,0.131	0.187,0.221,0.183	-0.059
1984	"ENSMUSG00000002963"	"Pnkp"	chr7	+	44859722	44859945	44859722	44859802	44859887	44859945	1984	27,17,26	97,84,94	9,14,14	88,101,109	185	100	0.00138740304528	0.0961932778061	0.131,0.099,0.13	0.052,0.07,0.065	0.058
227	"ENSMUSG00000002393"	"Nr2f6"	chr8	-	71375502	71375790	71375502	71375568	71375748	71375790	227	144,162,141	2,3,5	157,112,156	10,12,6	280	100	0.00135674258322	0.0961932778061	0.963,0.951,0.91	0.849,0.769,0.903	0.101
2494	"ENSMUSG00000025478"	"Dpysl4"	chr7	+	139093760	139094462	139093760	139093841	139094393	139094462	2494	54,59,91	25,29,31	55,46,43	40,37,36	652	100	0.00131393206618	0.0961932778061	0.249,0.238,0.31	0.174,0.16,0.155	0.103
784	"ENSMUSG00000003038"	"Hmgn2"	chr4	-	133966428	133966795	133966428	133966479	133966765	133966795	784	97,90,76	377,391,331	72,54,51	379,356,393	386	100	0.00145774121726	0.0980974089733	0.062,0.056,0.056	0.047,0.038,0.033	0.019
782	"ENSMUSG00000078765"	"U2af1l4"	chr7	+	30564202	30564607	30564202	30564394	30564473	30564607	782	50,68,60	4,7,5	55,70,84	3,2,0	179	100	0.00158396341523	0.103545951258	0.875,0.844,0.87	0.911,0.951,1.0	-0.091
2396	"ENSMUSG00000037336"	"Mfsd2b"	chr12	-	4865136	4866529	4865136	4866268	4866448	4866529	2396	6,13,15	0,1,2	6,18,14	9,3,4	280	100	0.00170750467579	0.105588397249	1.0,0.823,0.728	0.192,0.682,0.556	0.374
807	"ENSMUSG00000027655"	"Dhx35"	chr2	+	158826304	158827999	158826304	158826417	158827902	158827999	807	87,92,81	34,37,47	88,82,102	28,16,23	1585	100	0.00167093544471	0.105588397249	0.139,0.136,0.098	0.165,0.244,0.219	-0.085
1408	"ENSMUSG00000037933"	"Bicd2"	chr13	+	49383042	49387025	49383042	49383253	49384970	49387025	1408	1182,1217,1227	65,63,79	988,1013,1018	87,76,92	1817	100	0.00185241787473	0.105958302435	0.5,0.515,0.461	0.385,0.423,0.378	0.097
1948	"ENSMUSG00000032322"	"Pstpip1"	chr9	+	56127484	56127860	56127484	56127537	56127726	56127860	1948	6,4,2	4,9,6	2,0,0	3,2,4	289	100	0.00181718062247	0.105958302435	0.342,0.133,0.103	0.187,0.0,0.0	0.13
389	"ENSMUSG00000015790"	"Surf1"	chr2	-	26913382	26913658	26913382	26913505	26913576	26913658	389	65,54,69	159,153,150	47,52,34	147,194,185	171	100	0.00179415109306	0.105958302435	0.193,0.171,0.212	0.158,0.136,0.097	0.062
2143	"ENSMUSG00000000486"	"Sept1"	chr7	-	127217618	127218057	127217618	127217742	127217970	127218057	2143	8,9,9	6,4,5	4,1,3	7,7,5	328	100	0.00190512862066	0.106315470343	0.289,0.407,0.354	0.148,0.042,0.155	0.235
1147	"ENSMUSG00000005677"	"Nr1i3"	chr1	+	171217313	171217731	171217313	171217430	171217625	171217731	1147	6,13,4	4,0,1	1,1,7	0,0,0	295	100	0.00213820518118	0.11377240592	0.337,1.0,0.576	1.0,1.0,1.0	-0.362
1747	"ENSMUSG00000026672"	"Optn"	chr2	-	5020641	5021481	5020641	5021228	5021322	5021481	1747	158,147,129	16,16,14	111,145,132	7,5,6	194	100	0.00209917539769	0.11377240592	0.836,0.826,0.826	0.891,0.937,0.919	-0.086
1376	"ENSMUSG00000028467"	"Gba2"	chr4	-	43570036	43570448	43570036	43570190	43570345	43570448	1376	49,45,36	22,35,20	43,35,38	44,43,44	255	100	0.00316213275718	0.139133841316	0.466,0.335,0.414	0.277,0.242,0.253	0.148
1592	"ENSMUSG00000025728"	"Pigq"	chr17	-	25931673	25932231	25931673	25931827	25932104	25932231	1592	107,97,112	194,216,203	72,93,80	245,229,224	377	100	0.00301636771972	0.139133841316	0.128,0.106,0.128	0.072,0.097,0.087	0.035
1875	"ENSMUSG00000022537"	"Tmem44"	chr16	-	30540738	30543488	30540738	30540909	30543401	30543488	1875	222,227,292	23,26,19	200,221,199	34,37,32	2592	100	0.00306638802425	0.139133841316	0.271,0.252,0.372	0.185,0.187,0.193	0.11
2101	"ENSMUSG00000078490"	"C030017K20Rik"	chr4	+	155463447	155463999	155463447	155463554	155463843	155463999	2101	1,2,3	0,0,0	4,7,4	2,1,1	389	100	0.00305686730581	0.139133841316	1.0,1.0,1.0	0.34,0.643,0.507	0.503
2135	"ENSMUSG00000026289"	"Atg16l1"	chr1	+	87785875	87786346	87785875	87785996	87786240	87786346	2135	49,53,45	58,51,58	51,54,59	29,31,47	344	100	0.002766080612	0.139133841316	0.197,0.232,0.184	0.338,0.336,0.267	-0.109
586	"ENSMUSG00000030795"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920	586	10084,10014,10131	28,29,29	8888,8850,8936	49,34,39	3217	100	0.00315929192072	0.139133841316	0.918,0.915,0.916	0.849,0.89,0.877	0.044
607	"ENSMUSG00000001909"	"Trmt1"	chr8	+	84690516	84690947	84690516	84690572	84690810	84690947	607	225,189,188	41,35,39	157,152,130	40,59,40	338	100	0.00312817271781	0.139133841316	0.619,0.615,0.588	0.537,0.433,0.49	0.121
849	"ENSMUSG00000068876"	"Cgn"	chr3	-	94777993	94778270	94777993	94778089	94778200	94778270	849	13,9,7	64,44,48	3,1,4	39,41,37	211	100	0.0029778301939	0.139133841316	0.088,0.088,0.065	0.035,0.011,0.049	0.049
890	"ENSMUSG00000060671"	"Atp8b2"	chr3	-	89946427	89946789	89946427	89946539	89946624	89946789	890	12,14,14	156,146,172	33,22,16	141,143,156	185	100	0.00269014695593	0.139133841316	0.04,0.049,0.042	0.112,0.077,0.053	-0.037
1486	"ENSMUSG00000021134"	"Srsf5"	chr12	+	80947795	80949168	80947795	80947865	80949094	80949168	1486	11913,11889,12154	526,560,542	10534,10934,10746	375,366,377	1329	100	0.00340165325759	0.144410083376	0.63,0.615,0.628	0.679,0.692,0.682	-0.06
661	"ENSMUSG00000040111"	"Gramd1b"	chr9	-	40293232	40298079	40293232	40294427	40297985	40298079	661	6090,6097,5826	8,12,6	4596,4416,4442	9,15,17	3658	100	0.00347139623499	0.144410083376	0.954,0.933,0.964	0.933,0.889,0.877	0.051
979	"ENSMUSG00000034518"	"Hmgxb4"	chr8	+	74999559	74999891	74999559	74999708	74999812	74999891	979	7,5,9	23,34,26	3,0,3	20,21,32	204	100	0.00345256518936	0.144410083376	0.13,0.067,0.145	0.068,0.0,0.044	0.077
1972	"ENSMUSG00000073434"	"Wdr90"	chr17	-	25854529	25855234	25854529	25854765	25855117	25855234	1972	55,46,29	6,10,6	36,22,20	13,14,8	452	100	0.00358122152749	0.146318479552	0.67,0.504,0.517	0.38,0.258,0.356	0.232
1157	"ENSMUSG00000073889"	"Il11ra1"	chr4	+	41765385	41766274	41765385	41765552	41766110	41766274	1157	102,113,114	252,274,244	99,94,91	306,323,326	658	100	0.0038239656704	0.147852971262	0.058,0.059,0.066	0.047,0.042,0.041	0.018
1415	"ENSMUSG00000014767"	"Tbp"	chr17	+	15501153	15501357	15501153	15501202	15501311	15501357	1415	9,6,3	0,0,2	5,4,11	3,3,1	209	100	0.00394188428628	0.147852971262	1.0,1.0,0.418	0.444,0.389,0.84	0.248
1678	"ENSMUSG00000061718"	"Ppp1r1b"	chr11	+	98349995	98350629	98349995	98350110	98350568	98350629	1678	80,86,92	0,1,0	101,101,105	3,4,0	558	100	0.00390358492788	0.147852971262	1.0,0.939,1.0	0.858,0.819,1.0	0.087
1889	"ENSMUSG00000007034"	"Slc44a4"	chr17	+	34917516	34918338	34917516	34917595	34918238	34918338	1889	11,21,18	15,20,10	6,3,6	16,11,8	743	100	0.00391217613999	0.147852971262	0.09,0.124,0.195	0.048,0.035,0.092	0.078
2374	"ENSMUSG00000000738"	"Spg7"	chr8	+	123079413	123080810	123079413	123079539	123080636	123080810	2374	457,440,390	5,3,1	424,408,444	1,0,1	1197	100	0.00390975491953	0.147852971262	0.884,0.925,0.97	0.973,1.0,0.974	-0.056
469	"ENSMUSG00000027371"	"Fahd2a"	chr2	-	127438112	127438569	127438112	127438272	127438509	127438569	469	143,108,172	71,63,81	96,128,124	89,91,86	337	100	0.00418434202771	0.151964675546	0.374,0.337,0.387	0.242,0.294,0.3	0.087
850	"ENSMUSG00000068876"	"Cgn"	chr3	-	94777993	94778270	94777993	94778065	94778200	94778270	850	13,10,7	55,72,63	3,1,4	46,47,37	235	100	0.00417524049818	0.151964675546	0.091,0.056,0.045	0.027,0.009,0.044	0.037
1561	"ENSMUSG00000037761"	"Actr5"	chr2	+	158635306	158636147	158635306	158635426	158636007	158636147	1561	88,70,89	12,8,13	54,51,53	12,16,16	681	100	0.00431372695777	0.15421573874	0.519,0.562,0.501	0.398,0.319,0.327	0.179
261	"ENSMUSG00000030603"	"Psmc4"	chr7	-	28042338	28042726	28042338	28042507	28042649	28042726	261	124,112,171	242,237,273	111,96,84	251,251,264	242	100	0.00444161835044	0.156344965935	0.175,0.163,0.206	0.155,0.136,0.116	0.046
2450	"ENSMUSG00000030468"	"Siglecg"	chr7	+	43411561	43412174	43411561	43411819	43411889	43412174	2450	1,2,3	1,1,1	1,1,0	0,2,4	170	100	0.00509584406946	0.172463630317	0.37,0.541,0.638	1.0,0.227,0.0	0.107
326	"ENSMUSG00000022843"	"Clcn2"	chr16	-	20710271	20710639	20710271	20710427	20710554	20710639	326	55,42,47	89,90,119	24,31,28	94,93,93	227	100	0.00513730307327	0.172463630317	0.214,0.171,0.148	0.101,0.128,0.117	0.062
714	"ENSMUSG00000036833"	"Pnpla7"	chr2	+	25002614	25003032	25002614	25002715	25002888	25003032	714	3,1,3	12,8,20	6,4,7	11,10,5	273	100	0.00520104479539	0.172463630317	0.084,0.044,0.052	0.167,0.128,0.339	-0.151
917	"ENSMUSG00000089989"	"Flt3l"	chr7	-	45132227	45134026	45132227	45132412	45133881	45134026	917	429,441,425	17,19,24	364,371,389	31,33,25	1569	100	0.00519476940581	0.172463630317	0.617,0.597,0.53	0.428,0.417,0.498	0.134
164	"ENSMUSG00000039263"	"Npepl1"	chr2	+	174120543	174121124	174120543	174120667	174120947	174121124	164	668,748,763	167,167,153	608,520,597	154,185,186	380	100	0.00549792200532	0.174853356939	0.513,0.541,0.568	0.51,0.425,0.458	0.076
2476	"ENSMUSG00000034121"	"Mks1"	chr11	+	87856562	87856936	87856562	87856660	87856807	87856936	2476	1,4,6	16,13,21	1,0,3	24,25,26	247	100	0.00543450828778	0.174853356939	0.025,0.111,0.104	0.017,0.0,0.045	0.059
492	"ENSMUSG00000003421"	"Nosip"	chr7	+	45076068	45076428	45076068	45076228	45076309	45076428	492	15,23,21	205,207,177	11,11,7	184,171,197	181	100	0.0055023783652	0.174853356939	0.039,0.058,0.062	0.032,0.034,0.019	0.025
1062	"ENSMUSG00000033460"	"Armcx1"	chrX	+	134718369	134718818	134718369	134718461	134718725	134718818	1062	52,35,36	70,65,65	39,38,43	38,47,24	364	100	0.00607019442112	0.189220930145	0.169,0.129,0.132	0.22,0.182,0.33	-0.101
1658	"ENSMUSG00000029625"	"Cpsf4"	chr5	+	145177229	145178928	145177229	145177302	145178757	145178928	1658	186,164,194	7,6,4	158,165,187	4,1,0	1555	100	0.00628531061672	0.189220930145	0.631,0.637,0.757	0.718,0.914,1.0	-0.202
663	"ENSMUSG00000024913"	"Lrp5"	chr19	-	3593515	3597480	3593515	3593626	3597243	3597480	663	100,122,125	131,116,139	87,106,110	189,157,142	3717	100	0.00624617687603	0.189220930145	0.02,0.028,0.024	0.012,0.018,0.02	0.007
826	"ENSMUSG00000025507"	"Lrdd"	chr7	-	141441611	141442564	141441611	141441821	141442150	141442564	826	16,6,11	3,4,1	5,5,4	13,9,1	429	100	0.00627605967694	0.189220930145	0.554,0.259,0.719	0.082,0.115,0.483	0.284
2262	"ENSMUSG00000023153"	"Tmem52"	chr4	+	155469302	155469503	155469302	155469346	155469443	155469503	2262	3,2,8	1,1,0	12,9,10	3,3,2	197	100	0.00652802463129	0.193975589044	0.604,0.504,1.0	0.67,0.604,0.717	0.039
2345	"ENSMUSG00000032596"	"Uba7"	chr9	+	107981203	107981581	107981203	107981296	107981517	107981581	2345	65,67,90	4,8,3	48,70,57	6,17,8	321	100	0.00672420155983	0.197243245755	0.835,0.723,0.903	0.714,0.562,0.689	0.165
1251	"ENSMUSG00000034171"	"Faah"	chr4	-	115999498	116000088	115999498	115999607	116000048	116000088	1251	98,98,93	85,82,86	67,62,48	64,77,93	541	100	0.00706787733566	0.199645720296	0.176,0.181,0.167	0.162,0.13,0.087	0.048
129	"ENSMUSG00000073468"	"Sft2d1"	chr17	+	8321799	8323335	8321799	8321835	8323276	8323335	129	323,373,376	180,187,177	268,319,314	202,229,186	1541	100	0.00701263078583	0.199645720296	0.104,0.115,0.121	0.079,0.083,0.099	0.026
1548	"ENSMUSG00000055692"	"Tmem191c"	chr16	+	17277668	17277891	17277668	17277741	17277850	17277891	1548	44,26,46	18,26,19	31,17,23	29,28,29	209	100	0.00695649515703	0.199645720296	0.539,0.324,0.537	0.338,0.225,0.275	0.187
1370	"ENSMUSG00000062906"	"Hdac10"	chr15	-	89124174	89124588	89124174	89124253	89124531	89124588	1370	112,120,127	23,20,19	112,121,132	11,11,12	378	100	0.00715674699389	0.19969069661	0.563,0.613,0.639	0.729,0.744,0.744	-0.134
1504	"ENSMUSG00000052142"	"Rasal3"	chr17	-	32392045	32392788	32392045	32392203	32392397	32392788	1504	3,0,3	2,5,3	1,10,5	0,0,6	294	100	0.00766653198919	0.201370465121	0.338,0.0,0.254	1.0,1.0,0.221	-0.543
1545	"ENSMUSG00000029068"	"Ccnl2"	chr4	+	155817922	155820428	155817922	155817987	155818538	155820428	1545	285,262,231	109,110,117	230,240,221	137,157,121	651	100	0.00741183912493	0.201370465121	0.287,0.268,0.233	0.205,0.19,0.219	0.058
2027	"ENSMUSG00000030871"	"Ears2"	chr7	-	122044301	122044666	122044301	122044432	122044512	122044666	2027	2,6,3	10,14,9	2,0,2	16,17,12	180	100	0.00758118782859	0.201370465121	0.1,0.192,0.156	0.065,0.0,0.085	0.099
2643	"ENSMUSG00000005774"	"Rfx5"	chr3	+	94956486	94956802	94956486	94956606	94956720	94956802	2643	9,3,4	35,27,43	9,17,10	33,24,43	214	100	0.00749433675435	0.201370465121	0.107,0.049,0.042	0.113,0.249,0.098	-0.087
555	"ENSMUSG00000020134"	"Peli1"	chr11	+	21140563	21142657	21140563	21140693	21142555	21142657	555	28,67,49	96,136,109	44,45,28	135,147,155	1962	100	0.00774501788927	0.201370465121	0.015,0.024,0.022	0.016,0.015,0.009	0.007
889	"ENSMUSG00000035228"	"Ccdc106"	chr7	+	5059495	5060785	5059495	5059705	5060206	5060785	889	62,58,60	9,8,13	36,38,30	13,12,12	601	100	0.00740570514758	0.201370465121	0.534,0.547,0.434	0.315,0.345,0.294	0.187
357	"ENSMUSG00000029650"	"Slc46a3"	chr5	-	147894480	147894815	147894480	147894596	147894708	147894815	357	43,25,38	4,3,3	37,60,53	1,0,3	212	100	0.00795705861978	0.204558990135	0.835,0.797,0.857	0.946,1.0,0.893	-0.117
951	"ENSMUSG00000024013"	"Fgd2"	chr17	+	29364910	29365610	29364910	29364991	29365461	29365610	951	19,22,21	1,2,2	24,25,31	5,8,8	570	100	0.00808645628123	0.205575688572	0.769,0.659,0.648	0.457,0.354,0.405	0.287
2270	"ENSMUSG00000041319"	"Thoc6"	chr17	-	23668975	23669306	23668975	23669110	23669195	23669306	2270	20,13,21	49,42,45	8,9,9	51,45,35	185	100	0.00832538577785	0.209323985272	0.181,0.143,0.201	0.078,0.098,0.122	0.076
2401	"ENSMUSG00000025409"	"Mbd6"	chr10	-	127287395	127287690	127287395	127287538	127287626	127287690	2401	52,57,45	116,146,120	49,48,36	163,147,192	188	100	0.00851606960451	0.209513626399	0.193,0.172,0.166	0.138,0.148,0.091	0.051
579	"ENSMUSG00000013033"	"Lphn1"	chr8	+	83937196	83937557	83937196	83937325	83937460	83937557	579	41,29,32	232,197,217	13,17,22	197,165,179	235	100	0.00850735106823	0.209513626399	0.07,0.059,0.059	0.027,0.042,0.05	0.023
2120	"ENSMUSG00000048930"	"Tada3"	chr6	-	113376891	113377739	113376891	113376945	113377315	113377739	2120	29,32,25	50,74,53	27,40,34	32,48,41	470	100	0.0087259369003	0.212393017318	0.11,0.084,0.091	0.152,0.151,0.15	-0.056
1800	"ENSMUSG00000049482"	"Ctu2"	chr8	+	122478892	122479412	122478892	122479194	122479276	122479412	1800	4,9,9	46,64,51	10,14,17	34,49,61	182	100	0.00901041287093	0.214748173424	0.046,0.072,0.088	0.139,0.136,0.133	-0.067
799	"ENSMUSG00000002043"	"Trappc6a"	chr7	+	19514421	19515090	19514421	19514539	19515006	19515090	799	52,81,91	110,113,84	50,68,73	147,118,125	567	100	0.00894022864985	0.214748173424	0.077,0.112,0.16	0.057,0.092,0.093	0.036
1494	"ENSMUSG00000001249"	"Hpn"	chr7	-	31103153	31103423	31103153	31103194	31103300	31103423	1494	4,3,4	30,39,27	0,0,3	24,38,29	206	100	0.00984032446361	0.218985313824	0.061,0.036,0.067	0.0,0.0,0.048	0.039
2187	"ENSMUSG00000066952"	"Myo1h"	chr5	+	114361042	114361324	114361042	114361113	114361226	114361324	2187	1,4,1	5,6,8	0,1,0	7,9,12	213	100	0.00962014426871	0.218985313824	0.086,0.238,0.055	0.0,0.05,0.0	0.11
2338	"ENSMUSG00000029055"	"Plch2"	chr4	-	154985365	154987016	154985365	154985392	154986718	154987016	2338	234,243,232	1,0,0	246,238,232	1,4,1	1426	100	0.00972118703843	0.218985313824	0.943,1.0,1.0	0.945,0.807,0.942	0.083
2471	"ENSMUSG00000021281"	"Tnfaip2"	chr12	+	111448246	111448639	111448246	111448369	111448538	111448639	2471	1,0,1	4,3,2	5,2,3	13,6,9	269	100	0.0099393048429	0.218985313824	0.085,0.0,0.157	0.125,0.11,0.11	-0.034
351	"ENSMUSG00000009687"	"Fxyd5"	chr7	-	31032729	31035283	31032729	31033018	31035208	31035283	351	81,93,71	73,81,80	70,64,72	89,116,89	2290	100	0.00964197698281	0.218985313824	0.046,0.048,0.037	0.033,0.024,0.034	0.013
708	"ENSMUSG00000014873"	"Surf2"	chr2	+	26917427	26919055	26917427	26917531	26918864	26919055	708	371,363,404	5,0,2	285,333,324	0,0,1	1433	100	0.00995387790109	0.218985313824	0.838,1.0,0.934	1.0,1.0,0.958	-0.062
891	"ENSMUSG00000060671"	"Atp8b2"	chr3	-	89947803	89948235	89947803	89947919	89948046	89948235	891	14,14,17	173,148,183	20,23,23	140,128,156	227	100	0.00981183196004	0.218985313824	0.034,0.04,0.039	0.059,0.073,0.061	-0.027
90	"ENSMUSG00000028099"	"Polr3c"	chr3	-	96723513	96724052	96723513	96723699	96723796	96724052	90	69,55,52	57,46,52	45,43,28	49,66,50	197	100	0.00967513620416	0.218985313824	0.381,0.378,0.337	0.318,0.249,0.221	0.103
505	"ENSMUSG00000025860"	"Xiap"	chrX	+	42071241	42072637	42071241	42071503	42072473	42072637	505	22,14,17	1,0,3	26,26,12	0,0,0	1070	100	0.0102307182113	0.222932221595	0.673,1.0,0.346	1.0,1.0,1.0	-0.327
