ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2515	"ENSMUSG00000039632"	"Ccdc151"	chr9	-	21992871	21993027	21992871	21993024	21993537	21993660	2515	4,1,2	0,6,1	0,1,0	2,1,2	103	100	8.80276991474e-05	0.0208644110739	1.0,0.139,0.66	0.0,0.493,0.0	0.435
2636	"ENSMUSG00000020926"	"Adam11"	chr11	+	102774631	102774724	102774639	102774724	102774441	102774513	2636	46,50,59	1,0,1	47,29,48	3,5,5	108	100	9.12437802066e-05	0.0208644110739	0.977,1.0,0.982	0.936,0.843,0.899	0.094
1508	"ENSMUSG00000058135"	"Gstm1"	chr3	-	108014944	108015118	108014944	108015040	108016327	108016428	1508	28,27,27	457,478,508	4,20,9	437,401,441	178	100	0.000164762929677	0.0282568424396	0.033,0.031,0.029	0.005,0.027,0.011	0.017
2291	"ENSMUSG00000020262"	"Adarb1"	chr10	-	77321648	77322630	77321648	77322583	77325865	77325940	2291	140,138,112	21,20,19	108,117,101	32,32,40	147	100	0.000155982042585	0.0282568424396	0.819,0.824,0.8	0.697,0.713,0.632	0.134
2935	"ENSMUSG00000021144"	"Mta1"	chr12	+	113131315	113131467	113131362	113131467	113130884	113131000	2935	198,223,220	13,22,21	200,231,238	10,9,4	147	100	0.000151166962406	0.0282568424396	0.912,0.873,0.877	0.932,0.946,0.976	-0.064
3512	"ENSMUSG00000034813"	"Grip1"	chr10	+	119985473	119986484	119986331	119986484	119978437	119978607	3512	21,34,32	21,11,8	38,51,53	5,3,7	958	100	0.000136577374962	0.0282568424396	0.095,0.244,0.295	0.442,0.64,0.441	-0.296
2495	"ENSMUSG00000041975"	"Mettl8"	chr2	-	70981854	70982195	70981854	70981967	70993483	70993575	2495	73,63,60	7,4,6	54,51,54	0,2,1	328	100	0.000178633577833	0.0288335610338	0.761,0.828,0.753	1.0,0.886,0.943	-0.162
2736	"ENSMUSG00000009292"	"Trpm2"	chr10	-	77930535	77930657	77930535	77930654	77932134	77932348	2736	6,0,4	13,16,20	0,1,0	12,5,12	103	100	0.000297945024642	0.0454200637565	0.309,0.0,0.163	0.0,0.163,0.0	0.103
1117	"ENSMUSG00000037262"	"Kin"	chr2	+	10090112	10090363	10090240	10090363	10085729	10085824	1117	36,36,48	0,1,2	26,28,36	6,2,4	228	100	0.00039069994174	0.0564252968492	1.0,0.94,0.913	0.655,0.86,0.798	0.18
2702	"ENSMUSG00000005687"	"Bcas2"	chr3	+	103173233	103173345	103173274	103173345	103171947	103172040	2702	15,17,14	299,307,283	4,9,4	297,245,299	141	100	0.00046667723742	0.0622230514176	0.034,0.038,0.034	0.009,0.025,0.009	0.021
2971	"ENSMUSG00000060538"	"Tmem219"	chr7	-	126897025	126897227	126897025	126897224	126898796	126898923	2971	10,7,11	0,0,0	3,7,6	1,1,4	103	100	0.00049887286122	0.0622230514176	1.0,1.0,1.0	0.744,0.872,0.593	0.264
330	"ENSMUSG00000000693"	"Loxl3"	chr6	+	83035454	83035797	83035579	83035797	83034172	83034289	330	44,60,44	2,7,3	49,84,62	1,1,1	225	100	0.000488390449538	0.0622230514176	0.907,0.792,0.867	0.956,0.974,0.965	-0.11
1996	"ENSMUSG00000074358"	"Ccdc61"	chr7	-	18899557	18899713	18899557	18899682	18900918	18901076	1996	61,66,67	6,11,9	61,70,68	2,1,5	131	100	0.000609594468806	0.0626419139441	0.886,0.821,0.85	0.959,0.982,0.912	-0.099
2147	"ENSMUSG00000061882"	"Ccdc62"	chr5	+	123951751	123951867	123951800	123951867	123951198	123951287	2147	6,5,12	4,12,2	8,2,2	1,1,0	149	100	0.000575759212158	0.0626419139441	0.502,0.219,0.801	0.843,0.573,1.0	-0.298
2593	"ENSMUSG00000026207"	"Speg"	chr1	+	75384033	75384068	75384038	75384068	75383136	75383179	2593	16,18,16	2,1,4	10,13,15	11,6,7	105	100	0.00058872353244	0.0626419139441	0.884,0.945,0.792	0.464,0.674,0.671	0.271
3190	"ENSMUSG00000032507"	"Fbxl2"	chr9	-	113983984	113984116	113983984	113984041	113984540	113984585	3190	2,4,7	29,20,31	1,1,0	19,23,26	175	100	0.000608832289541	0.0626419139441	0.038,0.103,0.114	0.029,0.024,0.0	0.067
3195	"ENSMUSG00000032280"	"Tle3"	chr9	+	61401852	61402057	61401855	61402057	61394607	61394712	3195	16,13,20	1,3,2	21,10,16	7,6,11	103	100	0.000628586020573	0.0626419139441	0.94,0.808,0.907	0.744,0.618,0.585	0.236
963	"ENSMUSG00000037773"	"Pced1a"	chr2	-	130422224	130422704	130422224	130422375	130422812	130422892	963	175,204,174	0,3,0	163,165,203	5,7,1	429	100	0.000639203203511	0.0626419139441	1.0,0.941,1.0	0.884,0.846,0.979	0.077
748	"ENSMUSG00000025372"	"Baiap2"	chr11	+	119996888	119997090	119997008	119997090	119996522	119996747	748	191,155,157	5,3,6	202,175,189	0,2,1	220	100	0.000798081345288	0.0755150072921	0.946,0.959,0.922	1.0,0.975,0.988	-0.045
211	"ENSMUSG00000020566"	"Atp6v1c2"	chr12	-	17297728	17297854	17297728	17297820	17301120	17301215	211	6,4,4	219,219,191	14,7,6	153,123,128	134	100	0.00083087804339	0.0759976450354	0.02,0.013,0.015	0.064,0.041,0.034	-0.03
2525	"ENSMUSG00000040187"	"Arntl2"	chr6	+	146820527	146820668	146820603	146820668	146818819	146818934	2525	9,9,14	5,4,4	9,11,12	0,0,3	176	100	0.000924114250146	0.0817990162065	0.506,0.561,0.665	1.0,1.0,0.694	-0.321
1333	"ENSMUSG00000000915"	"Hip1r"	chr5	+	123996475	123996581	123996519	123996581	123996230	123996371	1333	4,2,3	79,103,93	7,9,8	65,72,88	144	100	0.000961076358918	0.0823040067826	0.034,0.013,0.022	0.07,0.08,0.059	-0.047
1533	"ENSMUSG00000031660"	"Brd7"	chr8	-	88334104	88334219	88334104	88334216	88337080	88337137	1533	10,10,13	161,180,151	15,8,35	113,119,130	103	100	0.00102209530863	0.0823040067826	0.057,0.051,0.077	0.114,0.061,0.207	-0.066
2464	"ENSMUSG00000030035"	"Wbp1"	chr6	-	83120184	83120873	83120184	83120287	83121202	83121559	2464	341,325,330	9,16,22	272,270,340	28,31,27	686	100	0.00104979600488	0.0823040067826	0.847,0.748,0.686	0.586,0.559,0.647	0.163
2896	"ENSMUSG00000022212"	"Cpne6"	chr14	+	55513051	55513246	55513171	55513246	55512581	55512761	2896	7,4,7	51,52,42	2,3,2	59,76,81	220	100	0.00103996210463	0.0823040067826	0.059,0.034,0.07	0.015,0.018,0.011	0.04
1217	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67022592	67024565	67022592	67023441	67031028	67031098	1217	1362,1290,1450	181,199,183	1028,983,1116	195,191,214	1224	100	0.00119737888312	0.0864633593495	0.381,0.346,0.393	0.301,0.296,0.299	0.075
2125	"ENSMUSG00000037224"	"Zfyve28"	chr5	-	34236002	34236158	34236002	34236140	34243172	34243313	2125	1,2,0	44,43,22	4,4,4	37,32,29	118	100	0.00118227954366	0.0864633593495	0.019,0.038,0.0	0.084,0.096,0.105	-0.076
2350	"ENSMUSG00000028809"	"Srrm1"	chr4	-	135323913	135324109	135323913	135324061	135324818	135325280	2350	507,534,475	5,3,1	407,412,400	9,7,9	148	100	0.00114020073818	0.0864633593495	0.986,0.992,0.997	0.968,0.975,0.968	0.021
728	"ENSMUSG00000006307"	"Wbp7"	chr7	-	30577296	30577471	30577296	30577455	30578482	30578620	728	5,5,4	57,55,53	1,2,1	62,78,59	116	100	0.00126415512342	0.0889446579145	0.07,0.073,0.061	0.014,0.022,0.014	0.051
1913	"ENSMUSG00000052013"	"Btla"	chr16	+	45244152	45244311	45244155	45244311	45242705	45242741	1913	1,1,3	3,0,1	1,1,0	3,2,2	103	100	0.00130490559147	0.0895165235748	0.244,1.0,0.744	0.244,0.327,0.0	0.472
288	"ENSMUSG00000063652"	"Slc22a21"	chr11	-	53960282	53960621	53960282	53960437	53969499	53969603	288	2,2,7	2,4,1	2,10,3	1,0,1	284	100	0.00140285497334	0.0938886352889	0.26,0.15,0.711	0.413,1.0,0.514	-0.269
1031	"ENSMUSG00000044037"	"Als2cl"	chr9	+	110884014	110884146	110884017	110884146	110882713	110882823	1031	19,34,24	1,2,3	24,27,26	5,7,9	103	100	0.00163869210185	0.102194798352	0.949,0.943,0.886	0.823,0.789,0.737	0.143
2989	"ENSMUSG00000025648"	"Pfkfb4"	chr9	+	109008311	109008470	109008348	109008470	109007691	109007748	2989	5,1,3	19,29,15	0,1,0	18,17,17	137	100	0.00163833245519	0.102194798352	0.161,0.025,0.127	0.0,0.041,0.0	0.091
745	"ENSMUSG00000090231"	"Cfb"	chr17	-	34856879	34856945	34856879	34856929	34857003	34857136	745	0,0,1	7,5,7	4,1,1	4,5,6	116	100	0.00160014423686	0.102194798352	0.0,0.0,0.11	0.463,0.147,0.126	-0.209
1748	"ENSMUSG00000034361"	"Cpne2"	chr8	+	94568590	94568827	94568593	94568827	94563956	94564090	1748	23,42,49	2,5,2	50,55,42	0,1,0	103	100	0.00181630943939	0.108346806558	0.918,0.891,0.96	1.0,0.982,1.0	-0.071
3041	"ENSMUSG00000024397"	"Aif1"	chr17	-	35171762	35171939	35171762	35171804	35172127	35172194	3041	2,0,0	12,18,13	2,4,7	27,14,25	235	100	0.00178430154892	0.108346806558	0.066,0.0,0.0	0.031,0.108,0.106	-0.06
3173	"ENSMUSG00000052593"	"Adam17"	chr12	-	21347296	21347449	21347296	21347430	21349784	21349953	3173	2,0,4	34,64,68	8,4,4	45,39,34	119	100	0.00197192275572	0.115126724291	0.047,0.0,0.047	0.13,0.079,0.09	-0.068
163	"ENSMUSG00000014609"	"Chrne"	chr11	-	70615207	70615317	70615207	70615314	70615399	70615586	163	0,1,0	2,4,5	1,3,1	4,9,4	103	100	0.00218530640131	0.124926682608	0.0,0.195,0.0	0.195,0.244,0.195	-0.146
3121	"ENSMUSG00000068036"	"Mllt4"	chr17	+	13808931	13809095	13808934	13809095	13807276	13807392	3121	17,24,23	9,21,19	22,15,15	5,3,6	103	100	0.00232074409474	0.128904798265	0.647,0.526,0.54	0.81,0.829,0.708	-0.211
672	"ENSMUSG00000002944"	"Cd36"	chr5	-	17828774	17828984	17828774	17828981	17829455	17829549	672	4,6,4	0,2,0	7,7,6	6,3,0	103	100	0.00234884836488	0.128904798265	1.0,0.744,1.0	0.531,0.694,1.0	0.173
2107	"ENSMUSG00000021198"	"Unc79"	chr12	+	102998437	102998742	102998596	102998742	102991349	102991470	2107	0,0,5	2,1,2	2,1,4	1,1,0	259	100	0.00255263957001	0.137342019218	0.0,0.0,0.491	0.436,0.279,1.0	-0.408
2804	"ENSMUSG00000020827"	"Mink1"	chr11	+	70610077	70610183	70610080	70610183	70609553	70609717	2804	216,216,172	21,24,23	214,230,232	12,12,16	103	100	0.00265004112188	0.139840631508	0.909,0.897,0.879	0.945,0.949,0.934	-0.048
3135	"ENSMUSG00000020175"	"Rab36"	chr10	+	75049851	75049951	75049895	75049951	75048448	75048513	3135	1,2,4	25,28,21	7,8,4	20,22,17	144	100	0.00270718401173	0.140160621287	0.027,0.047,0.117	0.196,0.202,0.14	-0.116
3271	"ENSMUSG00000028601"	"Echdc2"	chr4	+	108172738	108172972	108172879	108172972	108172088	108172175	3271	22,33,18	78,87,107	12,15,3	81,80,60	241	100	0.00276706905113	0.140608101413	0.105,0.136,0.065	0.058,0.072,0.02	0.052
347	"ENSMUSG00000021109"	"Hif1a"	chr12	+	73941687	73941852	73941729	73941852	73940347	73940631	347	359,350,382	75,92,98	324,309,307	114,101,115	142	100	0.00283025435178	0.141203962569	0.771,0.728,0.733	0.667,0.683,0.653	0.076
1973	"ENSMUSG00000021134"	"Srsf5"	chr12	+	80948128	80949168	80949094	80949168	80947795	80947865	1973	10334,10265,10518	526,560,542	9127,9486,9376	375,366,377	1066	100	0.0029683228307	0.142896102587	0.648,0.632,0.645	0.695,0.709,0.7	-0.06
2623	"ENSMUSG00000071669"	"Snx29"	chr16	+	11420700	11420783	11420703	11420783	11418822	11418898	2623	23,16,27	1,0,1	13,11,17	1,2,4	103	100	0.00294782505824	0.142896102587	0.957,1.0,0.963	0.927,0.842,0.805	0.115
1606	"ENSMUSG00000003581"	"Rnf215"	chr11	+	4137211	4137368	4137308	4137368	4136711	4136797	1606	154,159,127	5,5,3	109,133,154	2,0,1	197	100	0.00317270286472	0.147557570522	0.94,0.942,0.956	0.965,1.0,0.987	-0.038
306	"ENSMUSG00000036948"	"BC037034"	chr5	-	138260834	138261716	138260834	138260989	138261801	138261884	306	332,309,371	20,31,15	304,283,271	38,39,31	827	100	0.00312540607878	0.147557570522	0.667,0.547,0.749	0.492,0.467,0.514	0.163
1926	"ENSMUSG00000030067"	"Foxp1"	chr6	-	99015423	99015513	99015423	99015510	99016527	99016665	1926	43,48,38	9,11,21	35,42,48	10,3,1	103	100	0.00359544043115	0.149966408997	0.823,0.809,0.637	0.773,0.931,0.979	-0.138
2008	"ENSMUSG00000032332"	"Col12a1"	chr9	-	79598990	79601179	79598990	79600007	79602199	79602370	2008	90,89,79	0,0,0	47,60,67	1,1,3	1272	100	0.003438834232	0.149966408997	1.0,1.0,1.0	0.787,0.825,0.637	0.25
2128	"ENSMUSG00000021235"	"Coq6"	chr12	+	84368142	84368709	84368585	84368709	84366884	84367019	2128	113,114,93	0,5,6	107,103,116	1,0,2	543	100	0.00336890277478	0.149966408997	1.0,0.808,0.741	0.952,1.0,0.914	-0.106
2299	"ENSMUSG00000019802"	"Sec63"	chr10	+	42812664	42812838	42812667	42812838	42812435	42812495	2299	218,188,198	17,19,15	156,182,230	13,8,2	103	100	0.00332604291717	0.149966408997	0.926,0.906,0.928	0.921,0.957,0.991	-0.036
2463	"ENSMUSG00000030035"	"Wbp1"	chr6	-	83120184	83120876	83120184	83120287	83121202	83121559	2463	511,496,480	9,16,22	474,482,531	28,31,27	689	100	0.00360706377325	0.149966408997	0.892,0.818,0.76	0.711,0.693,0.741	0.108
3211	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166385390	166388988	166386951	166388988	166383934	166384000	3211	7543,7814,7822	48,44,46	7448,7118,7184	67,61,65	1661	100	0.00359518109664	0.149966408997	0.904,0.914,0.911	0.87,0.875,0.869	0.038
794	"ENSMUSG00000036036"	"Zfp57"	chr17	+	37006049	37006194	37006058	37006194	37004796	37004903	794	10,7,5	0,0,1	5,9,3	1,0,6	109	100	0.00352706099468	0.149966408997	1.0,1.0,0.821	0.821,1.0,0.314	0.229
3443	"ENSMUSG00000063450"	"Syne2"	chr12	+	76108863	76108910	76108866	76108910	76108143	76108215	3443	8,3,11	269,263,205	15,11,16	207,191,255	103	100	0.00372536202208	0.152573035651	0.028,0.011,0.05	0.066,0.053,0.057	-0.029
2140	"ENSMUSG00000041343"	"Ankrd42"	chr7	-	92619547	92619725	92619547	92619683	92623967	92624087	2140	0,7,2	11,22,13	2,0,0	11,16,10	142	100	0.00402300241623	0.155480544086	0.0,0.183,0.098	0.114,0.0,0.0	0.056
2721	"ENSMUSG00000031478"	"Nek3"	chr8	-	22132049	22132199	22132049	22132193	22132992	22133095	2721	3,2,1	11,10,7	0,0,1	5,10,6	106	100	0.00389111797853	0.155480544086	0.205,0.159,0.119	0.0,0.0,0.136	0.116
3110	"ENSMUSG00000032596"	"Uba7"	chr9	+	107981389	107981581	107981517	107981581	107981203	107981296	3110	73,90,97	4,8,3	60,76,68	6,17,8	228	100	0.0039857947642	0.155480544086	0.889,0.831,0.934	0.814,0.662,0.788	0.13
465	"ENSMUSG00000059552"	"Trp53"	chr11	+	69591253	69591873	69591349	69591873	69590655	69590762	465	41,34,26	88,77,83	20,12,24	85,94,68	196	100	0.00397821186497	0.155480544086	0.192,0.184,0.138	0.107,0.061,0.153	0.064
3392	"ENSMUSG00000075702"	"Selm"	chr11	+	3516485	3516920	3516841	3516920	3516260	3516296	3392	663,644,674	6,0,6	669,660,624	14,7,8	456	100	0.00424486528224	0.159623183835	0.96,1.0,0.961	0.913,0.954,0.945	0.036
674	"ENSMUSG00000023051"	"Tarbp2"	chr15	+	102521120	102521213	102521137	102521213	102519121	102519291	674	28,35,30	1,0,2	27,34,32	0,7,4	117	100	0.00424653513846	0.159623183835	0.96,1.0,0.928	1.0,0.806,0.872	0.07
1849	"ENSMUSG00000054474"	"Thnsl2"	chr6	-	71138650	71138822	71138650	71138803	71139748	71139943	1849	3,2,3	18,30,31	0,1,0	28,26,26	119	100	0.00431135942433	0.159869868383	0.123,0.053,0.075	0.0,0.031,0.0	0.073
2882	"ENSMUSG00000051910"	"Sox6"	chr7	-	115550009	115550159	115550009	115550156	115580564	115580644	2882	6,6,6	0,0,0	2,16,14	0,2,4	103	100	0.00510535854901	0.184686735545	1.0,1.0,1.0	1.0,0.886,0.773	0.114
567	"ENSMUSG00000044060"	"A830010M20Rik"	chr5	+	107504929	107505130	107504990	107505130	107504503	107504594	567	2,5,2	24,21,38	0,1,0	24,17,34	161	100	0.00511523028478	0.184686735545	0.049,0.129,0.032	0.0,0.035,0.0	0.058
3515	"ENSMUSG00000007570"	"Fance"	chr17	+	28318032	28318156	28318061	28318156	28317467	28317611	3515	35,31,32	29,24,39	38,56,45	14,29,25	129	100	0.00519472528501	0.185121119248	0.483,0.5,0.389	0.678,0.6,0.583	-0.163
2415	"ENSMUSG00000022960"	"Donson"	chr16	-	91686166	91686370	91686166	91686249	91687794	91687875	2415	44,62,48	6,4,0	50,57,54	0,1,2	221	100	0.00635799007816	0.218079059681	0.768,0.875,1.0	1.0,0.963,0.924	-0.081
2836	"ENSMUSG00000031770"	"Herpud1"	chr8	+	94389520	94389595	94389523	94389595	94389355	94389433	2836	539,498,475	60,34,49	578,542,551	29,39,35	103	100	0.00623814047128	0.218079059681	0.897,0.934,0.904	0.951,0.931,0.939	-0.029
3355	"ENSMUSG00000017264"	"Exosc10"	chr4	+	148581757	148581834	148581761	148581834	148581101	148581163	3355	88,73,76	1,0,1	58,61,76	1,2,7	104	100	0.00632085822601	0.218079059681	0.988,1.0,0.987	0.982,0.967,0.913	0.038
2414	"ENSMUSG00000002032"	"Tmem25"	chr9	-	44798120	44798463	44798120	44798432	44798663	44799242	2414	15,15,18	227,216,256	29,19,24	167,197,236	131	100	0.0064707737498	0.219207446536	0.048,0.05,0.051	0.117,0.069,0.072	-0.036
665	"ENSMUSG00000023088"	"Abcc1"	chr16	+	14458996	14459129	14459023	14459129	14457887	14457969	665	49,30,46	1,5,2	38,22,37	1,0,0	127	100	0.00663696992006	0.222095676349	0.975,0.825,0.948	0.968,1.0,1.0	-0.073
1506	"ENSMUSG00000028865"	"Cd164l2"	chr4	+	133224251	133224555	133224363	133224555	133223602	133223747	1506	221,285,291	8,6,1	237,244,236	0,1,3	212	100	0.00672649655724	0.222379597025	0.929,0.957,0.993	1.0,0.991,0.974	-0.029
935	"ENSMUSG00000014873"	"Surf2"	chr2	+	26918864	26919055	26918872	26919055	26917427	26917531	935	9,2,8	43,45,45	1,3,3	37,43,62	108	100	0.00692062124612	0.226073627373	0.162,0.04,0.141	0.024,0.061,0.043	0.072
1730	"ENSMUSG00000039738"	"Slx4"	chr16	-	3984990	3987181	3984990	3987176	3987914	3988081	1730	4,3,5	18,22,25	1,0,2	16,12,20	105	100	0.0070165981035	0.226512296424	0.175,0.115,0.16	0.056,0.0,0.087	0.102
1407	"ENSMUSG00000025571"	"Tnrc6c"	chr11	+	117741644	117741818	117741668	117741818	117739866	117740009	1407	24,17,25	25,37,31	9,18,9	34,41,31	124	100	0.00732317624259	0.233660414066	0.436,0.27,0.394	0.176,0.261,0.19	0.158
587	"ENSMUSG00000021504"	"B4galt7"	chr13	+	55604019	55604382	55604119	55604382	55600064	55600192	587	83,91,77	4,2,0	93,79,77	8,5,4	200	100	0.00742461244434	0.234173983302	0.912,0.958,1.0	0.853,0.888,0.906	0.074
3091	"ENSMUSG00000040855"	"Reps2"	chrX	-	162514278	162514351	162514278	162514348	162518328	162518423	3091	22,33,26	7,3,10	15,24,35	3,3,0	103	100	0.0075985159912	0.234273346965	0.753,0.914,0.716	0.829,0.886,1.0	-0.111
3409	"ENSMUSG00000029516"	"Cit"	chr5	+	115981649	115981812	115981694	115981812	115979761	115979869	3409	0,0,2	3,2,2	3,0,4	8,3,5	145	100	0.00757929019593	0.234273346965	0.0,0.0,0.408	0.205,0.0,0.356	-0.051
2705	"ENSMUSG00000046432"	"Ngfrap1"	chrX	+	136271262	136271978	136271267	136271978	136270809	136270882	2705	590,549,586	15,9,23	546,530,548	19,31,25	105	100	0.00798351637152	0.240733724434	0.974,0.983,0.96	0.965,0.942,0.954	0.019
343	"ENSMUSG00000029228"	"Lnx1"	chr5	-	74623481	74623684	74623481	74623654	74627347	74627500	343	33,32,40	1,3,3	22,25,32	0,0,0	130	100	0.00790489928927	0.240733724434	0.962,0.891,0.911	1.0,1.0,1.0	-0.079
1579	"ENSMUSG00000031090"	"Nadsyn1"	chr7	-	143815585	143815722	143815585	143815675	143816173	143816227	1579	1,6,8	18,14,27	3,0,2	18,25,21	147	100	0.00819396477568	0.242071480249	0.036,0.226,0.168	0.102,0.0,0.061	0.089
1727	"ENSMUSG00000030653"	"Pde2a"	chr7	+	101503286	101503410	101503298	101503410	101502811	101502942	1727	8,9,6	33,37,26	3,4,3	50,22,37	112	100	0.0085382913192	0.242071480249	0.178,0.178,0.171	0.051,0.14,0.068	0.089
2408	"ENSMUSG00000026222"	"Sp100"	chr1	+	85674654	85675266	85675194	85675266	85673624	85673771	2408	4,4,2	28,28,30	10,6,10	33,37,19	640	100	0.0084103012458	0.242071480249	0.022,0.022,0.01	0.045,0.025,0.076	-0.031
3164	"ENSMUSG00000005982"	"Nat15"	chr16	+	3900642	3900877	3900692	3900877	3899871	3899968	3164	310,296,329	12,8,4	274,274,304	11,17,15	150	100	0.00849083664845	0.242071480249	0.945,0.961,0.982	0.943,0.915,0.931	0.033
3296	"ENSMUSG00000048000"	"Gigyf2"	chr1	+	87440359	87440612	87440387	87440612	87436768	87436891	3296	2,1,1	123,118,124	8,2,4	108,100,100	128	100	0.00851693249058	0.242071480249	0.013,0.007,0.006	0.055,0.015,0.03	-0.025
418	"ENSMUSG00000063455"	"D630045J12Rik"	chr6	-	38136833	38136994	38136833	38136991	38139422	38139469	418	14,11,25	7,2,9	16,18,8	4,1,0	103	100	0.00855719153942	0.242071480249	0.66,0.842,0.73	0.795,0.946,1.0	-0.17
283	"ENSMUSG00000030741"	"Spns1"	chr7	-	126373921	126374073	126373921	126373973	126375066	126375203	283	307,256,257	3,6,5	277,304,266	1,0,2	200	100	0.00890957704616	0.249468157292	0.981,0.955,0.963	0.993,1.0,0.985	-0.026
624	"ENSMUSG00000028676"	"Srsf10"	chr4	+	135863522	135863576	135863525	135863576	135863039	135863202	624	124,135,113	45,42,42	136,163,180	43,43,13	103	100	0.00907326120662	0.251485138899	0.728,0.757,0.723	0.754,0.786,0.931	-0.088
545	"ENSMUSG00000042388"	"Dlgap3"	chr4	+	127235384	127235528	127235417	127235528	127234967	127235059	545	55,66,61	0,4,0	43,27,37	3,2,4	133	100	0.00967907260492	0.265593752279	1.0,0.925,1.0	0.915,0.91,0.874	0.075
1089	"ENSMUSG00000031229"	"Atrx"	chrX	-	105879908	105880018	105879908	105880015	105884306	105884420	1089	39,27,48	8,8,5	22,25,37	2,1,3	103	100	0.0111202770388	0.268713979727	0.826,0.766,0.903	0.914,0.96,0.923	-0.101
1310	"ENSMUSG00000004631"	"Sgce"	chr6	-	4677162	4677233	4677162	4677197	4678066	4678110	1310	2,2,2	14,15,7	0,1,0	8,16,15	136	100	0.0107828553405	0.268713979727	0.095,0.089,0.174	0.0,0.044,0.0	0.105
1414	"ENSMUSG00000012609"	"Ttll5"	chr12	+	85939325	85939510	85939328	85939510	85933281	85933674	1414	48,37,33	11,5,9	31,41,42	2,6,2	103	100	0.0113596288806	0.268713979727	0.809,0.878,0.781	0.938,0.869,0.953	-0.097
142	"ENSMUSG00000036686"	"Cc2d1a"	chr8	-	84138717	84138829	84138717	84138826	84139289	84139423	142	79,80,71	7,16,8	48,63,63	19,10,18	103	100	0.0109284442704	0.268713979727	0.916,0.829,0.896	0.71,0.859,0.773	0.1
1692	"ENSMUSG00000025498"	"Irf7"	chr7	-	141264492	141264783	141264492	141264655	141265074	141265291	1692	126,99,93	4,4,1	75,64,104	0,1,1	228	100	0.0106061147894	0.268713979727	0.933,0.916,0.976	1.0,0.966,0.979	-0.04
